,id,opening_name
37,OR6aULrW,Indian Game
38,Yg006qwa,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
39,G5S21pXK,English Opening: King's English Variation |  Reversed Sicilian
40,R9a2DLwe,Sicilian Defense: Dragon Variation
41,r4LcBZA7,Sicilian Defense: Closed Variation
42,SDDXGw21,Sicilian Defense: Smith-Morra Gambit #2
43,oqoT4DLS,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line
44,eSociDPG,Sicilian Defense: Smith-Morra Gambit #2
45,mpzYDfIK,Sicilian Defense: Bowdler Attack
46,27zreJYy,Scandinavian Defense
47,IRYkgI8N,Sicilian Defense: Bowdler Attack
48,tLnhk43J,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
49,iq3Kz06t,Scandinavian Defense: Mieses-Kotroc Variation
50,AAw1TiNN,French Defense: Normal Variation
51,n4vRYUCW,King's Pawn Game: Beyer Gambit
52,KYPdQv8e,Dutch Defense
53,p30PeXvE,English Opening: King's English Variation
54,PBS4FEld,Zukertort Opening: Ross Gambit
55,0lDqWVlz,Sicilian Defense: Closed Variation
56,O3wdIwg7,Vienna Game: Mengarini Variation
57,48ktrxLp,Philidor Defense: Larsen Variation
58,i2GBGO0R,Scotch Game
59,QZSTu1aT,Philidor Defense: Lopez Countergambit
60,9tU9MM6P,French Defense: Knight Variation
61,ztpC1S2c,Modern Defense
62,qc8aH5XL,Horwitz Defense
63,6sTz6t7D,Blumenfeld Countergambit #2
64,XuyVUkDi,French Defense #2
65,D5Oa4vGO,Zukertort Opening: Kingside Fianchetto
66,6QAiH2Yy,Indian Game
67,l7top9ps,French Defense: Queen's Knight
68,nG3Of11I,Queen's Pawn Game: Mason Attack
69,cUzM68JF,Queen's Pawn Game: Mason Attack
70,NZSBXWl2,Queen's Pawn
71,DHuXFP6C,Indian Game
72,00R4UOcU,French Defense: Advance |  Steinitz Variation
73,IN15cBnB,Queen's Pawn Game: Mason Attack
74,WYOts2ME,French Defense: Exchange Variation
75,oWFQ8mnz,Horwitz Defense
76,i2I8y9Xh,Queen's Pawn Game: London System
77,osPCRdxJ,French Defense: Chigorin Variation
78,Mi1AmkiI,Queen's Pawn Game: London System
79,7kK30TmL,French Defense: La Bourdonnais Variation
80,ThCXomTn,Queen's Pawn Game: Mason Attack
81,4dH72B3d,Queen's Pawn Game: London System
82,4jRtIZTy,English Opening: Anglo-Lithuanian Variation
83,wNK2HdLb,Crab Opening
84,d62Tg4dc,Queen's Pawn Game: Mason Attack
85,TaSQfvww,Queen's Pawn
86,Xwpzq87m,French Defense: Winawer Variation |  Advance Variation #2
87,AHmgnsKz,Queen's Pawn Game: London System
88,MfNml1rl,Queen's Pawn Game: Mason Attack
89,mEAvshF2,French Defense: Knight Variation
90,ySsVdRfw,Queen's Pawn Game: London System
91,ylLqmXwb,French Defense: Queen's Knight
92,8mceLIXN,Queen's Pawn Game: Steinitz Countergambit
93,YmJpuJkM,Queen's Pawn Game: London System
94,PNNfempy,Queen's Indian Defense
95,TVfozmF5,Horwitz Defense
96,4LX77G3m,Queen's Pawn Game: London System
97,nBfSissu,Italian Game: Giuoco Pianissimo |  Normal
98,h1unxHlo,Queen's Gambit Refused: Marshall Defense
99,OIyTAHCP,Queen's Gambit Refused: Marshall Defense
100,bnCnIJSz,French Defense: Marshall Variation
101,ZzWyY1f8,Scotch Game
102,mkKSL3Ev,French Defense: Advance Variation |  Main Line
103,aVwWNjNR,Philidor Defense
104,DNUmSBH4,Gruenfeld Defense
105,Tlng5eqN,French Defense: Knight Variation
106,wljkejE0,French Defense: Rubinstein Variation |  Fort Knox Variation
107,iNZuj8bY,Queen's Gambit Declined: Traditional Variation
108,Kan2JKOp,Queen's Gambit Accepted: Old Variation
109,bCUwPEJ7,French Defense: Advance Variation |  Paulsen Attack
110,zTwM10Si,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5
111,PBQ5Il7e,Queen's Gambit Accepted: Old Variation
112,z1LTn4pe,Yusupov-Rubinstein System
113,7NKtCk3B,Queen's Gambit Declined: Queen's Knight Variation
114,TMtvbg3w,Ruy Lopez: Classical Variation
115,0OXPfTEt,Queen's Pawn Game: Zukertort Variation
116,YzMf40DM,Queen's Pawn Game: London System
117,q3NHAFFp,Ruy Lopez: Classical Variation |  Central Variation
118,Gz7Icasx,Bishop's Opening: Ponziani Gambit
119,3n4poRIX,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order
120,XRuQPSzH,King's Indian Attack: French Variation
121,XPZikam7,Queen's Pawn Game: London System
122,5SNh53F9,Nimzowitsch Defense: Mikenas Variation
123,ezdEKpqG,Italian Game
124,WyQjriEX,Alekhine Defense #2
125,vAOIY0jj,Sicilian Defense: Nimzowitsch Variation
126,gHld9WSr,Four Knights Game: Italian Variation
127,dh2xQb3X,Italian Game: Two Knights Defense |  Fried Liver Attack
128,TKwuIzb6,Italian Game: Anti-Fried Liver Defense
129,s752sCLr,Italian Game: Two Knights Defense |  Fried Liver Attack
130,lKYmVLZt,Alekhine Defense: Maroczy Variation
131,dRhehsEy,Queen's Gambit Refused: Marshall Defense
132,7rbdtPwO,Italian Game: Anti-Fried Liver Defense
133,ahwTovI0,Alekhine Defense: Two Pawn Attack |  Lasker Variation
134,fgK91ojo,Caro-Kann Defense: Exchange Variation
135,Cmhkui8U,Queen's Pawn Game #2
136,TRpFAEWd,Sicilian Defense: Modern Variations |  Main Line
137,btHFH9xr,English Opening: King's English Variation
138,G9xaiPFl,Goldsmith Defense
139,RkMlSx4r,Nimzo-Indian Defense
140,Z1CTghfR,Italian Game: Two Knights Defense |  Fried Liver Attack
141,X4QqWp8Q,Alekhine Defense
142,R6dF4yRx,Queen's Gambit Refused: Marshall Defense
143,PLxCc87r,Italian Game
144,p7a4FGwp,Four Knights Game: Italian Variation
145,3udM9T6k,Bogo-Indian Defense: Exchange Variation
146,hkMNenrh,Alekhine Defense
147,jrmlULM0,Alekhine Defense: Saemisch Attack
148,JbLparSt,King's Knight Opening
149,mqZFkCf3,Queen's Gambit Declined
150,dZn9WLT5,French Defense: Classical Variation |  Steinitz Variation
151,MgL176RS,Alekhine Defense: Two Pawn Attack
152,V16nc5AF,Vienna Game: Vienna Gambit
153,GT8TdRlm,Modern Defense
154,2P2u5f63,Scandinavian Defense: Panov Transfer
155,15nlkNRf,Yusupov-Rubinstein System
156,xwl41jna,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
157,1zRjgcqm,Benoni Defense
158,vfnLULoh,Sicilian Defense: Hyperaccelerated Dragon
159,ut6LIGPI,Italian Game: Anti-Fried Liver Defense
160,1KbSJtjs,Ruy Lopez: Berlin Defense #2
161,cqrATt9o,Sicilian Defense: Najdorf |  Lipnitsky Attack
162,deKfSOPy,French Defense: Knight Variation
163,vQ1psjxd,Sicilian Defense: Delayed Alapin
164,k1qV5HHz,Sicilian Defense: Canal-Sokolsky Attack
165,QQ3iIM2V,Amar Opening
166,GppFo58m,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
167,BoDJGVyk,Sicilian Defense
168,tqirXAEm,Queen's Pawn
169,GLC4oNZR,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation
170,3eLsB99C,Sicilian Defense: Alapin Variation
171,M6zMVwqK,Sicilian Defense: French Variation
172,yrQWTJVz,French Defense: Knight Variation
173,aF6DiZZe,Paleface Attack
174,0dm3RaQv,Sicilian Defense
175,BxxAvvER,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation
176,fPPfEuu5,Sicilian Defense
177,Hysqcekp,Caro-Kann Defense: Classical Variation |  Flohr Variation
178,oaKcGCrO,Ruy Lopez: Bird Variation
179,xMezmOBz,Sicilian Defense: Najdorf Variation |  Adams Attack
180,46AuHfcq,Blumenfeld Countergambit #2
181,A7ddojjI,Italian Game: Two Knights Defense |  Modern Bishop's Opening
182,SGqoxO3v,Ruy Lopez: Morphy Defense #2
183,pHJ5zXyE,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
184,WqMvA7iE,Sicilian Defense: Old Sicilian
185,s3v6jMaX,Caro-Kann Defense
186,hl3zLZmV,Queen's Gambit Refused: Marshall Defense
187,PHYPEO42,Scandinavian Defense: Mieses-Kotroc Variation
188,NgZ8xxFe,Sicilian Defense: Old Sicilian
189,1ZeBVc5V,Philidor Defense
190,OmwDxZpJ,Sicilian Defense: Alapin Variation
191,JewxmuG9,Sicilian Defense
192,0gTDO6Av,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
193,t7vvcwqO,Hungarian Opening
194,igSDFKv0,Queen's Pawn Game #3
195,facMwkUo,Van't Kruijs Opening
196,j5KY62yS,French Defense: Normal Variation
197,nyYULwUl,Center Game: Berger Variation
198,h0YsGMhj,Italian Game: Giuoco Piano |  Greco's Attack
199,o4T7dj5h,Four Knights Game: Italian Variation
200,VgNt0SSX,Philidor Defense #3
201,UvqLtnPM,Ruy Lopez: Exchange Variation
202,1b0kpInt,Caro-Kann Defense
203,dJEtAQp7,Ruy Lopez: Morphy Defense |  Tarrasch Variation
204,ZPHBiKBY,Center Game: Normal Variation
205,I8odmGjb,Scotch Game
206,DijZlfMy,Philidor Defense #3
207,LyRqbD4d,Englund Gambit Declined |  Reversed French
208,CvakmVNb,Giuoco Piano
209,O037dETy,Sicilian Defense: Hyperaccelerated Fianchetto
210,CxQlHSnq,Scotch Game
211,Q0jogkvi,Philidor Defense #3
212,QurxyQkA,Ruy Lopez: Morphy Defense |  Caro Variation
213,mJ9VpdxV,Italian Game: Anti-Fried Liver Defense
214,edYOVb5F,Scandinavian Defense: Mieses-Kotroc Variation
215,GstYv2mJ,Crab Opening
216,dFQ5D7CS,Philidor Defense #4
217,2FpFvoMt,Petrov's Defense
218,cywOBEY5,Queen's Gambit Refused: Chigorin Defense #2
219,pnU8dLUx,Sicilian Defense: Jalalabad Variation
220,lE65efFF,Italian Game: Anti-Fried Liver Defense
221,bCVL4bZl,Queen's Pawn Game: London System
222,WUyPeYW8,French Defense: Advance Variation |  Milner-Barry Gambit
223,xRY7h8aS,Sicilian Defense: Open #3
224,92UGyHOr,Ruy Lopez: Exchange Variation
225,UqxaqU7R,Russian Game: Damiano Variation |  Kholmov Gambit
226,TTzZc8gW,English Opening: Carls-Bremen System
227,F7oADKYb,Italian Game
228,GoYkQEoS,Four Knights Game
229,DszY6Pr4,Pirc Defense #4
230,FhJcOzZW,Zukertort Opening: Old Indian Attack
231,kKFslhlg,Zukertort Opening: Sicilian Invitation
232,VVkKGe4E,Scandinavian Defense: Mieses-Kotroc Variation
233,11VaOez1,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit
234,2akR3Bit,Philidor Defense
235,mG2dEz4z,King's Pawn Game: Maroczy Defense
236,xrZnbIGD,Sicilian Defense: Old Sicilian
237,lOU3lddA,Russian Game: Damiano Variation
238,xYEVgk0W,Ruy Lopez: Morphy Defense |  Mackenzie Variation
239,QnXuc72h,St. George Defense
240,ejaSwZEr,Van't Kruijs Opening
241,3ZfA3gFa,English Opening: King's English Variation |  Two Knights Variation
242,WoOqoYEL,Ruy Lopez
243,EgoW2NiE,Scandinavian Defense
244,ZctgRAt4,Philidor Defense #2
245,VuZ0dzhO,King's Pawn Game: McConnell Defense
246,1cvi4Z6K,Philidor Defense #2
247,E83xJFBo,Scotch Game
248,hVSNfLer,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
249,XyM6zTew,Ruy Lopez: Bird Variation
250,5sEcA5zs,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
251,wXnKMk3N,King's Pawn Game: Beyer Gambit
252,YPVYpEvm,Ruy Lopez: Classical Variation
253,rth667hB,Italian Game
254,rb7lq7dT,Queen's Gambit Accepted: Old Variation
255,hxMTrlzW,Italian Game: Anti-Fried Liver Defense
256,hfNJtVnd,King's Indian Attack: Keres Variation #2
257,ijtzfFex,English Opening: Anglo-Scandinavian Defense
258,Uc64bIGE,Sicilian Defense: Marshall Counterattack
259,o1qwAoUy,French Defense: Advance Variation #4
260,voV4ekhS,French Defense: Knight Variation
261,VUCRbEm8,Ruy Lopez: Morphy Defense |  Caro Variation
262,LDLdtyDj,Nimzo-Indian Defense #2
263,Gr1n1AdP,Bird Opening
264,1TpYTEKR,Sicilian Defense: Open #3
265,AUzK1bj8,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line
266,R5SfPQiB,Hungarian Opening: Indian Defense
267,VXdhNTk5,Owen Defense
268,kTRSenmv,Italian Game
269,FE7B5vY8,Bird Opening
270,PEIWrbTQ,Sicilian Defense
271,8hlHAFPF,Italian Game: Two Knights Defense |  Modern Bishop's Opening
272,BwBDbyKq,Italian Game: Anti-Fried Liver Defense
273,E41MaCB9,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit
274,UVbhSOnA,Queen's Pawn Game: Torre Attack
275,HYMGpINp,Queen's Pawn Game
276,L9UeFctE,French Defense: Marshall Variation
277,DbYHY9Bc,Scandinavian Defense: Icelandic-Palme Gambit
278,7fftvkF6,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
279,IlQp1eqc,Semi-Slav Defense: Noteboom Variation
280,atgsbOBS,Scandinavian Defense: Mieses-Kotroc Variation
281,Kx4jd1Oo,Robatsch (Modern) Defense
282,5vg0pHEg,Queen's Gambit Declined
283,5uNNVd3c,Ruy Lopez: Exchange Variation |  Normal Variation
284,aGVLNoTY,King's Pawn Game: Damiano Defense
285,W4eyc9dH,Italian Game: Schilling-Kostic Gambit
286,l2My0J1h,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation
287,eRHQGmr2,Nimzo-Indian Defense: Ragozin Variation
288,D45fTp2y,English Opening: Symmetrical Variation |  Anti-Benoni Variation
289,lTOKfWMv,Van't Kruijs Opening
290,sd7oPNum,Four Knights Game
291,xLmd5oZZ,Semi-Slav Defense: Chigorin Defense
292,T3gAyyeH,Sicilian Defense: Quinteros Variation
293,HDPjH5bD,King's Pawn Game: Dresden Opening
294,cFSW3SMi,Modern Defense
295,wsNnVC6Y,English Defense #2
296,UxvU6EN4,French Defense: Steinitz Attack
297,mjXUQnww,King's Gambit Accepted |  Fischer Defense
298,lC84DiKq,Bird Opening: Dutch Variation
299,A17jdHS8,Bird Opening
300,t5ixT6HN,Four Knights Game: Gunsberg Variation
301,8uZRNw8n,Four Knights Game: Ranken Variation
302,vwQzM7Sg,King's Gambit Accepted |  Schallopp Defense
303,I4zyNfPo,Four Knights Game: Spanish Variation |  Classical Variation
304,6eQ92lsE,Queen's Pawn Game: Mason Attack
305,8BLA0IOl,Petrov's Defense #5
306,pMcUNK5E,Hungarian Opening
307,Kzq2t2lB,Bird Opening
308,a0VRhASu,King's Pawn Opening: 2.b3
309,5gymGRgt,Russian Game: Cochrane Gambit
310,Vyrkyifp,Bird Opening
311,exEzRx87,Four Knights Game: Italian Variation |  Noa Gambit
312,i3YfxFdL,Bird Opening
313,8ctKV1wh,Russian Game: Urusov Gambit
314,jVXtr42v,Polish Opening
315,ZXM2sX4y,Sicilian Defense: Closed Variation |  Fianchetto Variation
316,UFKSc5hH,Indian Game: Tartakower Attack
317,jhA7bDVC,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted
318,vc2eo2Sh,Caro-Kann Defense
319,WgPBuJD6,French Defense: Knight Variation
320,WtFUCKgj,Van't Kruijs Opening
321,EQDn1BA7,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
322,AbDhfpnX,Philidor Defense #3
323,Ger5Zno3,Ruy Lopez: Cozio Defense
324,JHH8PcNq,Italian Game
325,8Ie5Oesp,Italian Game: Giuoco Pianissimo |  Normal
326,HN5jnzyI,Indian Game: West Indian Defense
327,GRAng26s,Sicilian Defense
328,TaaLCuw6,Italian Game: Classical Variation |  Closed Variation
329,R2JFua6L,Italian Game: Two Knights Defense |  Traxler Counterattack
330,LcPvndOa,Italian Game: Hungarian Defense
331,oWSctoZp,Bishop's Opening
332,m793jf7F,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
333,UaulsArt,Ponziani Opening
334,EL3LK94E,Italian Game: Anti-Fried Liver Defense
335,PcXdgcJJ,Ruy Lopez: Cozio Defense
336,XGG3VNC9,Italian Game: Two Knights Defense |  Knight Attack
337,n1hgevhj,Petrov's Defense #2
338,q5P7mAB4,Bishop's Opening
339,sl4N6t22,Polish Opening
340,DhoFXYNH,Scotch Game: Classical Variation
341,q6FmC8Id,Sicilian Defense: Najdorf Variation
342,2CvZyh4h,Italian Game: Classical Variation #2
343,Psin3ost,Italian Game
344,AaSSYIy6,King's Gambit Accepted |  Fischer Defense
345,0lWtXgXo,Bishop's Opening
346,IC0EFtA5,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
347,L8gPU593,Italian Game: Giuoco Piano |  Aitken Variation
348,0PVGpBvD,King's Indian Attack: Symmetrical Defense
349,2icRDIZI,Gruenfeld Defense: Three Knights Variation |  Hungarian Attack
350,ktRhE4Ky,Italian Game: Anti-Fried Liver Defense
351,5AYA7mBv,French Defense: Knight Variation
352,qGThbTuM,Indian Game
353,pLR3kRgy,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation
354,EdKqO9z1,Caro-Kann Defense: Advance Variation
355,sAjNrfSm,Scotch Game: Haxo Gambit
356,BON8sFeZ,East Indian Defense
357,PREaBSqk,Philidor Defense
358,CmAh08GF,Blumenfeld Countergambit #2
359,FpZiajAh,Center Game: Berger Variation
360,uFREIMDF,Zukertort Opening: Queenside Fianchetto Variation
361,4Wozw7Zh,Queen's Pawn Game #2
362,GIoSZf5k,King's Gambit Accepted |  King's Knight Gambit
363,9r2yzwRq,Reti Opening: Reti Accepted
364,e4UoYNOg,Sicilian Defense: Najdorf Variation
365,sn4zdyQb,Scandinavian Defense
366,ppPlxT3Q,Nimzo-Larsen Attack: Modern Variation
367,D0idNTxu,King's Knight Opening
368,yTbYtCF6,King's Pawn Game: Nimzowitsch Defense
369,AEIBxJhK,Van't Kruijs Opening
370,mwcADhNn,English Opening: King's English Variation
371,ygHSZzNE,Nimzowitsch Defense: Mikenas Variation
372,9MESu3hH,Queen's Pawn Game: Chigorin Variation
373,tBXOrjlO,Center Game #2
374,J5DYrnEf,French Defense: Pelikan Variation
375,o5ZRUXrY,Van't Kruijs Opening
376,e5CGewyU,French Defense: Mediterranean Defense
377,fV2cuf3p,Queen's Pawn Game: Chigorin Variation
378,baOLL2ej,Ponziani Opening: Romanishin Variation
379,tHHd8ejz,King's Pawn Game: Wayward Queen Attack
380,E9Es660b,Queen's Pawn Game: Zukertort Variation
381,0Hl7FLEs,Queen's Pawn Game: Symmetrical Variation
382,6pOeX4hN,Queen's Pawn Game: Mason Attack
383,zALflmF8,Queen's Pawn Game: Chigorin Variation
384,F8euV2Zp,Queen's Pawn Game: Chigorin Variation
385,VC0euQZC,King's Knight Opening
386,F0rtsvLh,Scandinavian Defense
387,vI6soB0y,Philidor Defense: Exchange Variation #2
388,RHqtUgcA,Van't Kruijs Opening
389,pCdIqYQn,Owen Defense
390,7DyaFpEQ,Hungarian Opening
391,gDy9stbN,Ruy Lopez: Closed Variations |  Rosen Attack
392,4C9wlcMh,Owen Defense
393,J2JnXESd,Van't Kruijs Opening
394,fYXWmMQo,Owen Defense
395,0izXEQL0,Philidor Defense #3
396,C7ZN9Vt6,Sicilian Defense: French Variation
397,nXAMBzZC,French Defense #2
398,PDmTWzdY,French Defense: Exchange Variation
399,l33LvAGO,French Defense: Knight Variation
400,VVMmBXVj,Torre Attack #2
401,J7LsFrHs,Queen's Pawn Game: Zukertort Variation
402,nrOeTNGE,French Defense: Advance Variation |  Paulsen Attack
403,o8It5NwS,Creepy Crawly Formation: Classical Defense
404,KYR2S7f1,Queen's Pawn Game: Mason Attack
405,lUfS2I5H,Creepy Crawly Formation: Classical Defense
406,9GK7Wbwa,Italian Game: Giuoco Pianissimo |  Normal
407,RQKVDRu3,Sicilian Defense: Accelerated Dragon |  Modern Variation
408,gzD3S9qf,Elephant Gambit
409,aqIy0Ek9,Nimzo-Larsen Attack: Classical Variation
410,F9LhXEvk,French Defense: Tarrasch Variation
411,scqVJjj2,Nimzo-Indian Defense: Ragozin Variation
412,BoBZJpRS,Caro-Kann Defense: Exchange Variation
413,5VAOl0rA,Caro-Kann Defense: Hillbilly Attack
414,TMNMnaD7,Caro-Kann Defense: Advance Variation
415,ERl5w1Lb,Latvian Gambit
416,XLvG0Fxw,Global Opening
417,kI6eU49k,King's Gambit Accepted |  Bishop's Gambit |  Lopez Defense
418,wbR4KA2i,King's Gambit Accepted |  Bishop's Gambit
419,eTcONlGD,Italian Game: Two Knights Defense
420,AFrSI2mE,Alekhine Defense: Scandinavian Variation
421,Of7utwYA,Alekhine Defense
422,MbJQrZqR,Horwitz Defense
423,57CfXLeQ,Modern Defense: Geller's System
424,6jtIjE2R,Alekhine Defense
425,jsfpSHaf,Queen's Pawn Game: Mason Attack
426,CPDDgugd,Caro-Kann Defense: Accelerated Panov Attack
427,RXnpG2TZ,Queen's Pawn Game: Mason Attack
428,FgNBqN3z,Alekhine Defense: Scandinavian Variation
429,ploTbJ6s,Scandinavian Defense: Modern Variation #2
430,hbxnJvqu,Indian Game: East Indian Defense
431,eZH6krXF,French Defense: Steinitz Variation #2
432,qKXrw2ki,Trompowsky Attack
433,FhfFRSoX,Queen's Pawn Game: Mason Attack
434,EHmTVpmX,Scandinavian Defense: Modern Variation #2
435,XUuJhAEP,Dutch Defense
436,1CEn79ih,Scandinavian Defense: Panov Transfer
437,EHODQ73d,Scandinavian Defense: Panov Transfer
438,Wt4pO0yV,Englund Gambit
439,37DIkyQP,Scandinavian Defense
440,BThm18qK,London System
441,IgqWb3wU,Scandinavian Defense: Modern Variation #2
442,TAdphcbm,Modern Defense
443,63lPam9c,English Opening: Caro-Kann Defensive System
444,I400IkFs,Indian Game
445,Q9Bk2G35,Queen's Pawn Game: Mason Attack
446,irRJlNd6,Dutch Defense: Fianchetto Attack
447,bubeMcp6,Queen's Pawn Game: London System
448,pxoOFfHH,Alekhine Defense
449,Av8udV1F,Indian Game
450,RIrGfA5F,Alekhine Defense: Modern Variation |  Main Line
451,GlTzWj5E,Scandinavian Defense
452,lFN4Gvv1,Indian Game
453,cJRIpA0K,French Defense: Knight Variation
454,4u0MUqHf,Philidor Defense: Hanham Variation
455,68pMrUFp,Sicilian Defense #2
456,hz2R5AX6,French Defense: Pelikan Variation
457,ZbjPJQvo,French Defense: Schlechter Variation
458,rbcpm9pr,Sicilian Defense: Chekhover Variation
459,3fubUQ1L,Modern Defense: Mongredien Defense #2
460,QYc8zif6,Queen's Pawn Game
461,afXDSWwS,Slav Defense
462,kzO8xpo0,Pirc Defense: Classical Variation
463,lfKoLKHr,Modern Defense: Three Pawns Attack
464,DcNnJYPu,King's Gambit Declined |  Queen's Knight Defense
465,4ohxsOYi,Modern Defense
466,nBIWZ8Fi,English Opening: Great Snake Variation
467,IIlpa2I0,Horwitz Defense
468,Fl7n8wyn,English Opening: Anglo-Indian Defense
469,kATFCmb6,Sicilian Defense: Kan Variation |  Wing Attack
470,8BHaVwSf,French Defense: Knight Variation
471,JHs2yQVf,Sicilian Defense: Chekhover Variation
472,WOwzREnN,French Defense: Knight Variation
473,vCxVnALT,Queen's Pawn Game #2
474,BAKj62Jt,Danish Gambit Accepted |  Classical Defense
475,IhPROx4l,Mieses Opening
476,FEAnKMLP,Carr Defense
477,wwF013vq,Polish Opening
478,UVCNEXse,French Defense: Mediterranean Defense
479,YeWcT5XP,French Defense #2
480,mOQE6k1N,Queen's Pawn Game: Zukertort Variation
481,nIQ2d4S6,Horwitz Defense
482,PRsV872Z,Bird Opening: Dutch Variation
483,TQOTfC0X,English Opening: Great Snake Variation
484,XA0DImut,English Opening: Caro-Kann Defensive System
485,SBB7hpZn,English Opening: Anglo-Indian Defense
486,9LBbJAy5,French Defense: Marshall Variation
487,jkBe42CV,English Opening: Great Snake Variation
488,Z9FnkzxR,French Defense: Exchange Variation
489,rt1IFgnN,French Defense: Tarrasch Variation |  Open System
490,m6bOuo2a,English Opening: Symmetrical Variation |  Normal Variation
491,d79KE45O,Queen's Gambit Refused: Albin Countergambit |  Normal Line
492,VzLpYJ1R,English Opening: Symmetrical Variation
493,wLCl9YNn,King's Indian Defense
494,RSsb4wYF,King's Indian Attack
495,lm8AKQIn,English Opening: Caro-Kann Defensive System
496,uiJ5thnm,English Opening: Agincourt Defense
497,GHlw6n8z,Slav Defense: Bonet Gambit
498,yLhzi5Dd,Queen's Pawn Game: Torre Attack
499,brPQOL4Y,Queen's Gambit Refused: Marshall Defense
500,gH21a6oq,Queen's Gambit Accepted: Old Variation
501,giix8ieL,Queen's Gambit Declined: Queen's Knight Variation
502,Un8lFrlI,Queen's Gambit Declined: Modern Variation
503,xNeUwMhV,Sicilian Defense: Canal Attack |  Main Line
504,ckyHRYkd,Queen's Gambit Refused: Marshall Defense
505,qRI4whmd,Benoni Defense: Classical Variation |  Main Line
506,fE1B5wMl,Queen's Gambit Accepted: Old Variation
507,pbX2HMso,Queen's Gambit Declined: Exchange Variation |  Positional Variation #2
508,TVcCQzD5,Nimzo-Larsen Attack: Modern Variation #4
509,KYsVM4yI,Semi-Slav Defense: Accelerated Move Order
510,e4kFuJQ9,Italian Game
511,5FPLsNja,King's Pawn Game: Wayward Queen Attack
512,uBwEbVAF,Queen's Gambit Accepted: Old Variation
513,7sZ6ADlB,Ponziani Opening: Jaenisch Counterattack
514,1iCdDMNl,Queen's Gambit Accepted: Old Variation
515,8lPSOnVV,Queen's Gambit Declined: Queen's Knight Variation
